id,description,lock_version,updated_at,created_at,unit_no
400,PIPEWAY BRIDGES,0,1/8/2009 0:00,1/8/2009 0:00,143
401,PLANT AIR SYSTEM,0,1/8/2009 0:00,1/8/2009 0:00,8607
402,POTABLE/DOMESTIC WTR SYSTEM,0,1/8/2009 0:00,1/8/2009 0:00,8621
403,PROCESS/NESHAPS WATER SYSTEM,0,1/8/2009 0:00,1/8/2009 0:00,8618
404,PROJECT STANDARD,0,1/8/2009 0:00,1/8/2009 0:00,129
405,REFINERY GENERAL,0,1/8/2009 0:00,1/8/2009 0:00,100
406,REFINERY MAPS/OFF-PROPERTY,0,1/8/2009 0:00,1/8/2009 0:00,135
407,REFINERY STANDARD,0,1/8/2009 0:00,1/8/2009 0:00,132
408,REFINERY SYSTEMS,0,1/8/2009 0:00,1/8/2009 0:00,133
409,RELEASE GASES (HP MP LP)SYSTEM,0,1/8/2009 0:00,1/8/2009 0:00,8602
410,REMOVED EQUIPMENT,0,1/8/2009 0:00,1/8/2009 0:00,99
411,RESERVOIRS,0,1/8/2009 0:00,1/8/2009 0:00,144
412,ROADWAYS,0,1/8/2009 0:00,1/8/2009 0:00,136
413,S RESERVOIR P/H SWITCH RM,0,1/8/2009 0:00,1/8/2009 0:00,9975
414,S/H EAST COKE STORAGE,0,1/8/2009 0:00,1/8/2009 0:00,7450
415,SALVAGE YARD,0,1/8/2009 0:00,1/8/2009 0:00,148
416,SANITARY SEWER SYSTEM,0,1/8/2009 0:00,1/8/2009 0:00,8627
